"zip","city","county","pop"
"32440","Graceville","Jackson","7777"
"32134","Fort Mc Coy","Marion","7754"
"33597","Webster","Sumter","7702"
"34602","Brooksville","Hernando","7697"
"34229","Osprey","Sarasota","7674"
"34949","Fort Pierce","St. Lucie","7663"
"32112","Crescent City","Putnam","7646"
"32347","Perry","Taylor","7609"
"32132","Edgewater","Volusia","7570"
"32948","Fellsmere","Indian River","7564"
"32204","Jacksonville","Duval","7547"
"33834","Bowling Green","Hardee","7524"
"32424","Blountstown","Calhoun","7514"
"32435","Defuniak Springs","Walton","7494"
"34242","Sarasota","Sarasota","7465"
"33767","Clearwater Beach","Pinellas","7452"
"34688","Tarpon Springs","Pinellas","7443"
"32066","Mayo","Lafayette","7420"
"32040","Glen Saint Mary","Baker","7329"
"33957","Sanibel","Lee","7319"
"33715","Saint Petersburg","Pinellas","7296"
"34228","Longboat Key","Manatee","7283"
"33548","Lutz","Hillsborough","7222"
"34614","Brooksville","Hernando","7195"
"32612","Gainesville","Alachua","7164"
"33031","Homestead","Miami-Dade","7124"
"34251","Myakka City","Manatee","7115"
"32266","Neptune Beach","Duval","7101"
"32087","Sanderson","Baker","7097"
"32603","Gainesville","Alachua","6949"
"32064","Live Oak","Suwannee","6890"
"33471","Moore Haven","Glades","6866"
"33953","Port Charlotte","Charlotte","6741"
"32666","Melrose","Putnam","6664"
"33042","Summerland Key","Monroe","6623"
"34433","Dunnellon","Citrus","6574"
"32202","Jacksonville","Duval","6523"
"33158","Miami","Miami-Dade","6469"
"32321","Bristol","Liberty","6321"
"32352","Quincy","Gadsden","6246"
"33920","Alva","Lee","6243"
"32124","Daytona Beach","Volusia","6117"
"32535","Century","Escambia","6094"
"34946","Fort Pierce","St. Lucie","6079"
"32730","Casselberry","Seminole","5943"
"34753","Mascotte","Lake","5932"
"32189","Satsuma","Putnam","5874"
"32234","Jacksonville","Duval","5867"
"32466","Youngstown","Bay","5795"
"32145","Hastings","St. Johns","5723"
"32130","De Leon Springs","Volusia","5703"
"32460","Sneads","Jackson","5690"
"32619","Bell","Gilchrist","5639"
"33493","South Bay","Palm Beach","5532"
"32531","Baker","Okaloosa","5526"
"33785","Indian Rocks Beach","Pinellas","5432"
"34981","Fort Pierce","St. Lucie","5393"
"32508","Pensacola","Escambia","5383"
"32628","Cross City","Dixie","5380"
"33620","Tampa","Hillsborough","5318"
"32113","Citra","Marion","5216"
"34945","Fort Pierce","St. Lucie","5187"
"33070","Tavernier","Monroe","5132"
"34217","Bradenton Beach","Manatee","5079"
"32565","Jay","Santa Rosa","5014"
"32621","Bronson","Levy","4946"
"33043","Big Pine Key","Monroe","4933"
"33876","Sebring","Highlands","4888"
"32421","Altha","Calhoun","4834"
"33890","Zolfo Springs","Hardee","4773"
"32686","Reddick","Marion","4737"
"33538","Lake Panasoffkee","Sumter","4728"
"32735","Grand Island","Lake","4728"
"32324","Chattahoochee","Gadsden","4716"
"32668","Morriston","Levy","4678"
"32033","Elkton","St. Johns","4676"
"34734","Gotha","Orange","4591"
"32732","Geneva","Seminole","4576"
"33576","San Antonio","Pasco","4543"
"32617","Anthony","Marion","4541"
"32180","Pierson","Volusia","4535"
"32950","Malabar","Brevard","4522"
"34269","Arcadia","De Soto","4517"
"32580","Valparaiso","Okaloosa","4491"
"32008","Branford","Suwannee","4425"
"32577","Molino","Escambia","4390"
"32058","Lawtey","Bradford","4368"
"32464","Westville","Holmes","4367"
"32131","East Palatka","Putnam","4365"
"33838","Dundee","Polk","4358"
"32667","Micanopy","Alachua","4352"
"32331","Greenville","Madison","4193"
"32431","Cottondale","Jackson","4145"
"32083","Raiford","Union","4115"
"33922","Bokeelia","Lee","4108"
"32455","Ponce De Leon","Holmes","4081"
"34201","Bradenton","Manatee","3997"
"32322","Carrabelle","Franklin","3994"
"32071","O Brien","Suwannee","3903"
"32320","Apalachicola","Franklin","3887"
"32438","Fountain","Bay","3822"
"32744","Lake Helen","Volusia","3807"
"34773","St. Cloud","Osceola","3728"
"32009","Bryceville","Nassau","3661"
"34484","Oxford","Sumter","3637"
"32053","Jennings","Hamilton","3538"
"34756","Montverde","Lake","3505"
"33036","Islamorada","Monroe","3496"
"33956","Saint James City","Lee","3489"
"32462","Vernon","Washington","3488"
"34289","North Port","Sarasota","3481"
"32328","Eastpoint","Franklin","3415"
"33839","Eagle Lake","Polk","3356"
"32227","Jacksonville","Duval","3337"
"32767","Paisley","Lake","3334"
"32502","Pensacola","Escambia","3331"
"32442","Grand Ridge","Jackson","3299"
"32831","Orlando","Orange","3228"
"32343","Midway","Gadsden","3221"
"34449","Inglis","Levy","3192"
"32443","Greenwood","Jackson","3165"
"32764","Osteen","Volusia","3165"
"32542","Eglin Afb","Okaloosa","3128"
"33306","Fort Lauderdale","Broward","3124"
"32567","Laurel Hill","Okaloosa","3099"
"33827","Babson Park","Polk","3062"
"32759","Oak Hill","Volusia","3014"
"32564","Holt","Okaloosa","2959"
"34737","Howey In The Hills","Lake","2942"
"32195","Weirsdale","Marion","2926"
"32798","Zellwood","Orange","2882"
"34705","Astatula","Lake","2860"
"32568","Mc David","Escambia","2853"
"32702","Altoona","Lake","2796"
"32403","Panama City","Bay","2779"
"33621","Tampa","Hillsborough","2751"
"33514","Center Hill","Sumter","2717"
"32094","Wellborn","Suwannee","2575"
"32181","Pomona Park","Putnam","2558"
"32445","Malone","Jackson","2497"
"32949","Grant","Brevard","2468"
"32212","Jacksonville","Duval","2466"
"32059","Lee","Madison","2418"
"33857","Lorida","Highlands","2377"
"32102","Astor","Lake","2283"
"32096","White Springs","Hamilton","2186"
"33946","Placida","Charlotte","2104"
"32334","Hosford","Liberty","2024"
"32694","Waldo","Alachua","2023"
"32358","Sopchoppy","Wakulla","2021"
"32544","Hurlburt Field","Okaloosa","1962"
"32420","Alford","Jackson","1958"
"32346","Panacea","Wakulla","1933"
"32187","San Mateo","Putnam","1871"
"32709","Christmas","Orange","1832"
"32062","Mc Alpin","Suwannee","1826"
"33965","Fort Myers","Lee","1735"
"32044","Hampton","Bradford","1711"
"32625","Cedar Key","Levy","1686"
"33786","Belleair Beach","Pinellas","1565"
"32925","Patrick Afb","Brevard","1533"
"32140","Florahome","Putnam","1439"
"32190","Seville","Volusia","1309"
"32350","Pinetta","Madison","1272"
"32359","Steinhatchee","Taylor","1271"
"32616","Alachua","Alachua","1235"
"32430","Clarksville","Calhoun","1173"
"33849","Kathleen","Polk","1171"
"33851","Lake Hamilton","Polk","1153"
"33585","Sumterville","Sumter","1133"
"32336","Lamont","Jefferson","1128"
"32332","Gretna","Gadsden","1077"
"34797","Yalaha","Lake","1041"
"32427","Caryville","Washington","1034"
"32511","Pensacola","Escambia","1034"
"32622","Brooker","Bradford","1032"
"33848","Intercession City","Osceola","1022"
"32139","Georgetown","Putnam","971"
"32423","Bascom","Jackson","966"
"32410","Mexico Beach","Bay","964"
"33865","Ona","Hardee","958"
"33930","Felda","Hendry","930"
"34760","Oakland","Orange","863"
"32437","Ebro","Washington","843"
"32426","Campbellton","Jackson","814"
"33921","Boca Grande","Lee","813"
"32147","Hollister","Putnam","790"
"34681","Crystal Beach","Pinellas","730"
"34216","Anna Maria","Manatee","724"
"32193","Welaka","Putnam","705"
"32509","Pensacola","Escambia","675"
"33960","Venus","Highlands","672"
"32330","Greensboro","Gadsden","651"
"34137","Copeland","Collier","651"
"33877","Waverly","Polk","618"
"34215","Cortez","Manatee","596"
"34498","Yankeetown","Levy","585"
"33521","Coleman","Sumter","557"
"32449","Kinard","Calhoun","552"
"34762","Okahumpka","Lake","544"
"33051","Key Colony Beach","Monroe","534"
"32061","Lulu","Columbia","514"
"32228","Jacksonville","Duval","470"
"32079","Penney Farms","Clay","451"
"33109","Miami Beach","Miami-Dade","408"
"32648","Horseshoe Beach","Dixie","392"
"32664","Mc Intosh","Marion","391"
"32361","Wacissa","Jefferson","383"
"32658","La Crosse","Alachua","375"
"32970","Wabasso","Indian River","369"
"33438","Canal Point","Palm Beach","367"
"32157","Lake Como","Putnam","363"
"34138","Chokoloskee","Collier","340"
"34140","Goodland","Collier","337"
"33001","Long Key","Monroe","331"
"33867","River Ranch","Polk","327"
"33854","Fedhaven","Polk","294"
"33039","Homestead","Miami-Dade","280"
"33856","Nalcrest","Polk","270"
"32683","Otter Creek","Levy","268"
"32697","Worthington Springs","Union","253"
"32355","Saint Marks","Wakulla","244"
"34739","Kenansville","Osceola","243"
"33944","Palmdale","Glades","219"
"32463","Wausau","Washington","216"
"32072","Olustee","Baker","211"
"33122","Miami","Miami-Dade","205"
"34139","Everglades City","Collier","204"
"33924","Captiva","Lee","195"
"32639","Gulf Hammock","Levy","194"
"33847","Homeland","Polk","176"
"33503","Balm","Hillsborough","162"
"32692","Suwannee","Dixie","160"
"32447","Marianna","Jackson","159"
"34268","Nocatee","De Soto","157"
"32631","Earleton","Alachua","155"
"32323","Lanark Village","Franklin","137"
"33744","Bay Pines","Pinellas","122"
"34661","Nobleton","Hernando","104"
"34141","Ochopee","Collier","67"
"34679","Aripeka","Pasco","43"
"32530","Bagdad","Santa Rosa","40"
"32461","Rosemary Bch","Bay","36"
"32681","Orange Lake","Marion","31"
"32133","Eastlake Weir","Marion","17"
"32830","Orlando","Orange","6"
"34101","Naples","Collier","0"
"32432","Cypress","Jackson","0"
"32356","Salem","Taylor","0"
"34445","Holder","Citrus","0"
"33855","Indian Lake Estates","Polk","0"
"33101","Miami","Miami-Dade","0"
"32399","Tallahassee","Leon","0"
"33945","Pineland","Lee","0"
